Sl No,AC No,AC Name,Zone,PC,District,Org District,Dominant Caste 1,Dominant Caste 2,Dominant Caste 3,Dominant Caste 4,Dominant Caste 5,Winner - Name,Winner - Party,Winner - Category,Winner - Caste,Runner Up - Name,Runner Up - Party,Runner Up - Category,Runner Party - Caste,2024 GE Booth Gradation
21,21,Jamkhandi,Kittur,Bagalkot,Bagalkot,Bagalkot,"Lingayat - 34%
_______________

Lingayat Panchamasali - 14%
Lingayat Ganiga - 9%
Lingayat Reddy Lingayat - 3%
Lingayat Jangama - 3%
Lingayat Banajiga - 3%
LingayatMali - 2%","SC - 15.88%
_______________

SC (Right) - 8.6%
SC (Left) - 6.55%
SC (Others) - 0.73%",Others - 13.37%,Muslim - 12.7%,Kuruba/ Halumatha - 11.38%,Shri Jagadeesh Gudagunti,BJP,GEN,Lingayat - Jangama,Anand Siddu Nyamagouda,INC,GEN,Lingayat - Ganiga,"Total no of Booths - 232
______________
Grade A - 112
Grade B - 19
Grade C - 9
Grade D - 92"
22,22,Bilgi,Kittur,Bagalkot,Bagalkot,Bagalkot,"Lingayat - 30%
_______________

Lingayat Ganiga - 10%
Lingayat Reddy Lingayat - 8%
Lingayat Panchamasali - 6%
Lingayat Banajiga - 3%
Lingayat Jangama - 3%",Kuruba/ Halumatha - 20.77%,"SC - 18.79%
_______________

SC (Left) - 7.88%
SC (Lambani) - 5.93%
SC (Right) - 2.06%
SC (Bhovi) - 1.21%
SC (Others) - 1.71%",ST Nayaka - 10.64%,Muslim - 10%,JT Patil,INC,GEN,Lingayat - Reddy,Shri Nirani Muragesh Rudrappa,BJP,GEN,Lingayat - Panchamasali,"Total no of Booths - 264
______________
Grade A - 137
Grade B - 21
Grade C - 12
Grade D - 94"
23,23,Badami,Kittur,Bagalkot,Bagalkot,Bagalkot,Kuruba/ Halumatha - 25.7%,"Lingayat - 23%
_______________

Lingayat Panchamasali - 12%
Lingayat Ganiga - 6%
Lingayat Banajiga - 2%
Lingayat Reddy Lingayat - 2%
Lingayat Jangama - 1%","SC - 13.1%
_______________

SC (Left) - 5.07%
SC (Bhovi) - 2.9%
SC (Lambani) - 2.72%
SC (Others) - 1.84%
SC (Right) - 0.57%",Others - 11.83%,ST - 10.49%,BB Chimmanakatti,INC,OBC,Kuruba / Halumata,Shri Shanthagouda Thirthgouda Patil,BJP,GEN,Lingayat - Ganiga,"Total no of Booths - 259
______________
Grade A - 154
Grade B - 8
Grade C - 8
Grade D - 89"
24,24,Bagalkot,Kittur,Bagalkot,Bagalkot,Bagalkot,"Lingayat - 26%
_______________

Lingayat Ganiga - 7%
Lingayat Panchamasali - 10%
Lingayat Reddy Lingayat - 4%
Lingayat Banajiga - 3%
Lingayat Jangama - 2%","SC - 17.21%
_______________

SC (Lambani) - 7.25%
SC (Left) - 4.78%
SC (Right) - 2.65%
SC (Bhovi) - 1.7%
SC (Others) - 0.83%",Kuruba/ Halumatha - 17.16%,Muslim - 14.23%,Others - 9.96%,Meti Hullappa Yamanappa,INC,OBC,Kuruba / Halumata,Shri Veerabhadrayya (Veeranna) Charantimath,BJP,GEN,Lingayat - Jangama,"Total no of Booths - 267
______________
Grade A - 146
Grade B - 18
Grade C - 6
Grade D - 97"
25,25,Hungund,Kittur,Bagalkot,Bagalkot,Bagalkot,"Lingayat - 23%
_______________

Lingayat Panchamasali - 10%
Lingayat Reddy Lingayat - 5%
Lingayat Ganiga - 5%
Lingayat Banajiga - 3%",Kuruba/ Halumatha - 20.54%,"SC - 18.58%
_______________

SC (Left) - 6.19%
SC (Bhovi) - 3.61%
SC (Lambani) - 3.48%
SC (Right) - 3.43%
SC (Others) - 1.87%",Others - 15.88%,Muslim - 12.16%,Vijayanand  Kashappanavar,INC,GEN,Lingayat - Panchamasali,Shri Doddanagouda G Patil,BJP,GEN,Lingayat - Reddy,"Total no of Booths - 255
______________
Grade A - 146
Grade B - 16
Grade C - 6
Grade D - 87"
26,26,Muddebihal,Kittur,Bijapur,Vijayapura,Vijayapura,Kuruba/ Halumatha - 24.09%,"Lingayat - 23%
_______________

Lingayat Panchamasali - 12%
Lingayat Reddy Lingayat - 6%
Lingayat Handevazir - 5%","SC - 20.51%
_______________

SC (Lambani) - 6.63%
SC (Left) - 6.02%
SC (Right) - 5.69%
SC (Bhovi) - 1.73%
SC (Others) - 0.44%",Others - 16.58%,Muslim - 15.82%,Appaji (Channabasavaraj),INC,GEN,Lingayat - Reddy,Shri AS Patil (Nadahalli),BJP,GEN,Lingayat - Reddy,"Total no of Booths - 245
______________
Grade A - 142
Grade B - 13
Grade C - 9
Grade D - 81"
27,27,Devar Hippargi,Kittur,Bijapur,Vijayapura,Vijayapura,"Lingayat - 27%
_______________

Lingayat Reddy Lingayat - 9%
Lingayat Panchamasali - 12%
Lingayat Ganiga - 3%
Lingayat Banajiga - 3%","SC - 23.99%
_______________

SC (Lambani) - 10.55%
SC (Left) - 6.73%
SC (Right) - 5.94%
SC (Bhovi) - 0.77%",Muslim - 15.41%,Kuruba/ Halumatha - 14.7%,Others - 11.07%,Shri Bhimanagouda (Rajugouda) Basanagouda Patil,JD(S),GEN,Lingayat - Panchamasali,Shri Somanagouda B Patil (Sasanur),BJP,GEN,Lingayat - Reddy,"Total no of Booths - 252
______________
Grade A - 136
Grade B - 10
Grade C - 7
Grade D - 99"
28,28,Basavana Bagevadi,Kittur,Bijapur,Vijayapura,Vijayapura,"Lingayat - 28%
_______________

Lingayat Panchamasali - 14%
Lingayat Ganiga - 7%
Lingayat Reddy Lingayat - 3%
Lingayat Banajiga - 2%
Lingayat Kudu Vokkaliga - 2%","SC - 24.16%
_______________

SC (Lambani) - 11.08%
SC (Left) - 6.41%
SC (Right) - 4.65%
SC (Bhovi) - 1.48%
SC (Others) - 0.54%",Others - 18.55%,Kuruba/ Halumatha - 15.43%,Muslim - 13.86%,Shivanand Patil,INC,GEN,Lingayat - Panchamasali,Shri Bellubbi Sangappa Kallappa,BJP,GEN,Lingayat - Ganiga,"Total no of Booths - 230
______________
Grade A - 151
Grade B - 21
Grade C - 4
Grade D - 54"
29,29,Babaleshwar,Kittur,Bijapur,Vijayapura,Vijayapura,"Lingayat - 30%
_______________

Lingayat Panchamasali - 15%
Lingayat Ganiga - 5%
Lingayat Reddy Lingayat - 4%
Lingayat Banajiga - 4%
Lingayat Jangama - 2%","SC - 24.81%
_______________

SC (Lambani) - 12.65%
SC (Right) - 7.98%
SC (Left) - 3.69%
SC (Bhovi) - 0.49%",Kuruba/ Halumatha - 16.39%,Muslim - 11.1%,Others - 8.63%,MB Patil,INC,GEN,Lingayat - Kudu Vokkaliga,Shri Vijayakumar (Vijayagouda) Patil,BJP,GEN,Lingayat - Panchamasali,"Total no of Booths - 243
______________
Grade A - 117
Grade B - 19
Grade C - 7
Grade D - 100"
30,30,Bijapur City,Kittur,Bijapur,Vijayapura,Vijayapura,Muslim - 45.59%,"Lingayat - 19%
_______________

Lingayat Panchamasali - 11%
Lingayat Ganiga - 4%
Lingayat Banajiga - 4%","SC - 15.38%
_______________

SC (Lambani) - 5.27%
SC (Right) - 3.63%
SC (Left) - 3.57%
SC (Bhovi) - 1.42%
SC (Others) - 1.49%",Others - 7.14%,Brahmin - 4.46%,Shri Basanagouda R Patil (Yatnal),BJP,GEN,Lingayat - Panchamasali,Abdul Hameed Khajasab Musharif,INC,GEN,Muslim,"Total no of Booths - 282
______________
Grade A - 142
Grade B - 9
Grade C - 5
Grade D - 126"
31,31,Nagthan (SC),Kittur,Bijapur,Vijayapura,Vijayapura,"SC - 28.12%
_______________

SC (Lambani) - 14.64%
SC (Right) - 6.73%
SC (Left) - 5.58%
SC (Bhovi) - 1.17%","Lingayat - 24%
_______________

Lingayat Panchamasali - 12%
Lingayat Ganiga - 7%
Lingayat Banajiga - 3%
Lingayat Kudu Vokkaliga - 2%",Kuruba/ Halumatha - 14.28%,Others - 13.77%,Muslim - 11.45%,Katakadhond Vitthal Dondiba,INC,SC,SC - Left,Shri Sanjeev Malasiddappa Aihole,BJP,SC,SC - Left,"Total no of Booths - 298
______________
Grade A - 159
Grade B - 14
Grade C - 11
Grade D - 114"
32,32,Indi,Kittur,Bijapur,Vijayapura,Vijayapura,"Lingayat - 28%
_______________

Lingayat Panchamasali - 14%
Lingayat Ganiga - 9%
Lingayat Banajiga - 5%","SC - 21.62%
_______________

SC (Lambani) - 8.67%
SC (Right) - 7.52%
SC (Left) - 4.47%
SC (Others) - 0.52%
SC (Bhovi) - 0.44%",Kuruba/ Halumatha - 16.8%,Muslim - 13.35%,Others - 12.65%,Yashavantaraygoud Vittalagoud Patil,INC,GEN,Lingayat - Banajiga,Shri BD Patil (Hanjagi),JD(S),OBC,Kuruba / Halumata,"Total no of Booths - 268
______________
Grade A - 169
Grade B - 12
Grade C - 6
Grade D - 81"
33,33,Sindgi,Kittur,Bijapur,Vijayapura,Vijayapura,"Lingayat - 34%
_______________

Lingayat Ganiga - 14%
Lingayat Panchamasali - 13%
Lingayat Banajiga - 5%
Lingayat Beda Jangama - 2%","SC - 17.76%
_______________

SC (Right) - 8.36%
SC (Left) - 4.48%
SC (Lambani) - 4.15%
SC (Bhovi) - 0.77%",Muslim - 16.38%,Kuruba/ Halumatha - 14.03%,Others - 10.71%,Ashok Mallappa Managuli,INC,GEN,Lingayat - Panchamasali,Shri Bhusanur Ramesh Balappa,BJP,GEN,Lingayat - Ganiga,"Total no of Booths - 268
______________
Grade A - 156
Grade B - 16
Grade C - 6
Grade D - 90"
34,34,Afzalpur,Kalyan,Gulbarga,Kalaburagi,Kalaburgi Rural,"Lingayat - 26.19%
_______________

Lingayat Deeksha - 7%
LingayatAdi - 5%
Lingayat Veerashaiva - 5%
Lingayat Ganiga - 4%
Lingayat Jangama - 2%
Lingayat Banajiga - 2%
Lingayat Kudu Vokkaliga - 1.19%","SC - 21.47%
_______________

SC (Right) - 11.09%
SC (Lambani) - 6.23%
SC (Left) - 2.21%
SC (Bhovi) - 1.49%
SC (Others) - 0.45%",Bestha/ Koli/ Kabbaliga/ Mogaveera - 13.95%,Muslim - 13.69%,Kuruba/ Halumatha - 13.51%,MY Patil,INC,GEN,Lingayat - Deeksha,Nitin Venkayya Guttedar,IND,OBC,Ediga / Billava / Namdhari Naik,"Total no of Booths - 251
______________
Grade A - 169
Grade B - 5
Grade C - 5
Grade D - 72"
35,35,Jevargi,Kalyan,Gulbarga,Kalaburagi,Kalaburgi Rural,"SC - 24.13%
_______________

SC (Right) - 10.46%
SC (Left) - 6.15%
SC (Lambani) - 5.63%
SC (Bhovi) - 1.39%
SC (Others) - 0.5%","Lingayat - 23.7%
_______________

Lingayat Ganiga - 9%
LingayatAdi - 5%
Lingayat Deeksha - 5%
Lingayat Veerashaiva - 4%
Lingayat Jangama - 0.70%",Muslim - 16.41%,Kuruba/ Halumatha - 14.14%,Bestha/ Koli/ Kabbaliga/ Mogaveera - 11.48%,Ajay Singh,INC,GEN,Rajput,Shri Doddappagouda,JD(S),GEN,Lingayat - Deeksha,"Total no of Booths - 279
______________
Grade A - 153
Grade B - 17
Grade C - 4
Grade D - 105"
36,36,Shorapur (ST),Kalyan,Raichur,Yadgir,Yadgir,"SC - 26%
_______________

SC (Lambani) - 12%
SC (Right) - 7%
SC (Left) - 4%
SC (Others) - 3%",ST Nayaka - 25%,Kuruba/ Halumatha - 20%,Muslim - 12%,"Lingayat - 6%
_______________

Lingayat Veerashaiva - 3%
Lingayat Adi - 1%
Lingayat Deeksha - 1%
Lingayat Banajiga, Jangama - 1%",Raja Venkatappa Naik,INC,ST,Nayaka,Shri Narasimhanayak (Rajugouda),BJP,ST,Nayaka,"Total no of Booths - 315
______________
Grade A - 96
Grade B - 31
Grade C - 20
Grade D - 168"
37,37,Shahapur,Kalyan,Raichur,Yadgir,Yadgir,"SC - 25.5%
_______________

SC (Lambani) - 8.96%
SC (Left) - 8.13%
SC (Right) - 7.93%
SC (Bhovi) - 0.48%",Muslim - 16.02%,Kuruba/ Halumatha - 15.98%,"Lingayat - 15.33%
_______________

Lingayat Reddy Lingayat - 6%
Lingayat Deeksha - 4%
Lingayat Veerashaiva - 3%
Lingayat Ganiga - 1%
Lingayat Banajiga - 1.33%",ST Nayaka - 9.97%,Sharanabasappa Darshanapur,INC,GEN,Lingayat - Reddy,Shri Ameenraddi Yalagi,BJP,GEN,Lingayat - Reddy,"Total no of Booths - 265
______________
Grade A - 104
Grade B - 11
Grade C - 10
Grade D - 140"
38,38,Yadgir,Kalyan,Raichur,Yadgir,Yadgir,"SC - 25.03%
_______________

SC (Left) - 11.04%
SC (Right) - 6.59%
SC (Lambani) - 5.4%
SC (Others) - 2%",Muslim - 17.56%,Kuruba/ Halumatha - 13.68%,Bestha/ Koli/ Kabbaliga/ Mogaveera - 13.52%,ST Nayaka - 10.3%,Channareddy Patil Tunnur,INC,GEN,Lingayat - Reddy,Shri Venkatreddy Mudnal,BJP,GEN,Lingayat - Reddy,"Total no of Booths - 268
______________
Grade A - 117
Grade B - 15
Grade C - 8
Grade D - 128"
39,39,Gurmitkal,Kalyan,Gulbarga,Yadgir,Yadgir,Bestha/ Koli/ Kabbaliga/ Mogaveera - 29.37%,"SC - 26.14%
_______________

SC (Left) - 11.83%
SC (Lambani) - 9.97%
SC (Right) - 3.64%
SC (Bhovi) - 0.7%",Kuruba/ Halumatha - 12.31%,Muslim - 8.15%,ST Nayaka - 5.61%,Shri Sharana Gouda Kandakur,JD(S),GEN,Lingayat - Reddy,Baburao Chinchansoor,INC,OBC,Koli Kabbaliga,"Total no of Booths - 284
______________
Grade A - 179
Grade B - 20
Grade C - 6
Grade D - 79"
40,40,Chittapur (SC),Kalyan,Gulbarga,Kalaburagi,Kalaburgi Rural,"SC - 20.61%
_______________

SC (Lambani) - 9.36%
SC (Right) - 5.09%
SC (Left) - 3.58%
SC (Bhovi) - 2.58%",Bestha/ Koli/ Kabbaliga/ Mogaveera - 10.9%,Muslim - 10.61%,"Lingayat - 10%
_______________

Lingayat Veerashaiva - 4%
Lingayat Deeksha - 3%
Lingayat Adi - 2%
Lingayat Beda Jangama - 0.50%
Lingayat Kudu Vokkaliga - 0.50%",Kuruba/ Halumatha - 3.73%,Priyank Kharge,INC,SC,SC - Right,Shri Manikanta Rathod,BJP,SC,Lambani,"Total no of Booths - 261
______________
Grade A - 99
Grade B - 22
Grade C - 11
Grade D - 129"
41,41,Sedam,Kalyan,Gulbarga,Kalaburagi,Kalaburgi Rural,"SC - 30.2%
_______________

SC (Left) - 11.75%
SC (Lambani) - 8.22%
SC (Right) - 7.94%
SC (Bhovi) - 2.29%",Bestha/ Koli/ Kabbaliga/ Mogaveera - 20.65%,Muslim - 14.39%,"Lingayat - 12%
_______________

LingayatAdi - 3%
Lingayat Reddy Lingayat - 3%
Lingayat Deeksha - 3%
Lingayat Veerashaiva - 2%
Lingayat Jangama - 1%",Kuruba/ Halumatha - 6.96%,Dr Sharanprakash Rudrappa Patil,INC,GEN,Lingayat - Adi,Shri Rajkumar Patil Telkur,BJP,GEN,Lingayat - Deeksha,"Total no of Booths - 261
______________
Grade A - 99
Grade B - 22
Grade C - 11
Grade D - 129"
42,42,Chincholi (SC),Kalyan,Bidar,Kalaburagi,Kalaburgi Rural,"SC - 43.67%
_______________

SC (Lambani) - 24.12%
SC (Right) - 11.71%
SC (Left) - 6.28%
SC (Bhovi) - 1.56%","Lingayat - 16.25%
_______________

Lingayat Veerashaiva - 5.7%
Lingayat Deeksha - 4%
Lingayat Adi - 2.42%
Lingayat Reddy Lingayat - 1.89%
Lingayat Kudu Vokkaliga - 1.19%
Lingayat Beda Jangama - 1.05%",Bestha/ Koli/ Kabbaliga/ Mogaveera - 14.79%,Muslim - 13.91%,Kuruba/ Halumatha - 6.42%,Shri Avinash Umesh Jadhav,BJP,SC,Lambani,Subhash V Rathod,INC,SC,Lambani,"Total no of Booths - 242
______________
Grade A - 96
Grade B - 17
Grade C - 6
Grade D - 123"
43,43,Gulbarga Rural (SC),Kalyan,Gulbarga,Kalaburagi,Kalaburgi Rural,"SC - 38.43%
_______________

SC (Right) - 16.41%
SC (Lambani) - 14.18%
SC (Left) - 4.85%
SC (Bhovi) - 2.99%","Lingayat - 20%
_______________

LingayatAdi - 5%
Lingayat Deeksha - 5%
Lingayat Veerashaiva - 5%
Lingayat Banajiga - 3.50%
Lingayat Beda Jangama - 1%
Lingayat Reddy Lingayat - 0.50%",Muslim - 17.3%,Kuruba/ Halumatha - 8.33%,Bestha/ Koli/ Kabbaliga/ Mogaveera - 7.04%,Shri Basavaraj Mattimadu,BJP,SC,SC - Left,Revu Naik Belamagi,INC,SC,Lambani,"Total no of Booths - 290
______________
Grade A - 144
Grade B - 10
Grade C - 10
Grade D - 126"
44,44,Gulbarga Dakshin,Kalyan,Gulbarga,Kalaburagi,Kalaburgi City,"SC - 30.14%
_______________

SC (Right) - 15.41%
SC (Left) - 8.45%
SC (Lambani) - 3.9%
SC (Bhovi) - 1.44%
SC (Others) - 0.94%","Lingayat - 27%
_______________

Lingayat Deeksha - 9%
LingayatAdi8%
Lingayat Veerashaiva - 5%
Lingayat Banajiga - 2%
Lingayat Beda Jangama - 1.35%
Lingayat Ganiga - 0.7%
Lingayat Reddy - 0.6%
Lingayat Kudu Vokkaliga - 0.55%
Lingayat Panchamasali - 0.47%",Muslim - 17.71%,Brahmin - 7.04%,Kuruba/ Halumatha - 5.17%,Allamprabhu Patil,INC,GEN,Lingayat - Deeksha,Shri Dattatreya C Patil Revoor Appugouda,BJP,GEN,Lingayat - Adi,"Total no of Booths - 261
______________
Grade A - 139
Grade B - 12
Grade C - 7
Grade D - 103"
45,45,Gulbarga Uttar,Kalyan,Gulbarga,Kalaburagi,Kalaburgi City,Muslim - 59.51%,"Lingayat - 20.92%
_______________

LingayatAdi - 6%
Lingayat Deeksha - 6%
Lingayat Veerashaiva - 5.50%
Lingayat Jangama - 1.26%
LingayatAdi Veerashaiva - 1.05%
Lingayat Adi Banajiga - 0.56%
Lingayat Jangama - 0.55%","SC - 7.13%
_______________

SC (Right) - 3.16%
SC (Left) - 1.81%
SC (Lambani) - 1.58%
SC (Bhovi) - 0.58%",Others - 12.44%,,Kaneez Fatima,INC,OBC,Muslim,Shri Chandrakant B Patil (Chandu Patil),BJP,GEN,Lingayat - Deeksha,"Total no of Booths - 284
______________
Grade A - 123
Grade B - 2
Grade C - 1
Grade D - 158"
46,46,Aland,Kalyan,Bidar,Kalaburagi,Kalaburgi Rural,"Lingayat - 32.87%
_______________

Lingayat Veerashaiva - 17.04%
LingayatAdi - 6.15%
Lingayat Deeksha - 5.1%
Lingayat Kudu Vokkaliga - 1.61%
Lingayat Beda Jangama - 1.23%
Lingayat Ganiga - 1.02%
LingayatAdi Veerashaiva - 0.72%","SC - 26.25%
_______________

SC (Right) - 14.78%
SC (Lambani) - 6.24%
SC (Left) - 4.08%
SC (Bhovi) - 1.15%",Muslim - 13.58%,Kuruba/ Halumatha - 9.47%,Bestha/ Koli/ Kabbaliga/ Mogaveera - 4.13%,Bhojaraj,INC,GEN,Lingayat - Deeksha,Shri Subhash Guttedar,BJP,OBC,Ediga / Billava / Namdhari Naik,"Total no of Booths - 254
______________
Grade A - 160
Grade B - 12
Grade C - 1
Grade D - 81"
47,47,Basavakalyan,Kalyan,Bidar,Bidar,Bidar,"SC - 21.72%
_______________

SC (Right) - 9.95%
SC (Lambani) - 4.89%
SC (Left) - 6.29%
SC (Bhovi) - 0.59%","Lingayat - 20%
_______________

Lingayat Veerashaiva - 15%
Lingayat Reddy - 1%
Lingayat Deeksha - 1%
Lingayat Adi - 1%
Lingayat Banajiga - 1%
Lingayat Jangama - 1%",Muslim - 18.53%,Maratha - 14.68%,ST - 12.01%,Shri Sharanu Salagar,BJP,GEN,Lingayat - Deeksha,Vijay Singh,INC,GEN,Rajput,"Total no of Booths - 278
______________
Grade A - 124
Grade B - 16
Grade C - 7
Grade D - 131"
48,48,Humnabad,Kalyan,Bidar,Bidar,Bidar,"SC - 23.84%
_______________

SC (Right) - 12.06%
SC (Left) - 7.73%
SC (Lambani) - 2.47%
SC (Bhovi) - 1.58%",Muslim - 23.02%,"Lingayat - 15.34%
_______________

Lingayat Veerashaiva - 11%
LingayatDeeksha - 2.28%
Lingayat Jangama - 2.06%",Kuruba/ Halumatha - 12.56%,ST - 8.79%,Shri Siddu Patil,BJP,GEN,Lingayat - Veerashaiva,Rajashekhar Basavaraj Patil,INC,GEN,Lingayat - Deeksha,"Total no of Booths - 255
______________
Grade A - 80
Grade B - 20
Grade C - 5
Grade D - 150"
49,49,Bidar South,Kalyan,Bidar,Bidar,Bidar,Muslim - 27.4%,"SC - 21.37%
_______________

SC (Right) - 10.27%
SC (Left) - 6.68%
SC (Lambani) - 3.64%
SC (Bhovi) - 0.78%","Lingayat - 18.04%
_______________

Lingayat Veerashaiva - 12.97%
Lingayat Reddy Lingayat - 3.18%
Lingayat Beda Jangama - 1.12%
Lingayat Ganiga - 0.77%",Kuruba/ Halumatha - 12.81%,ST - 7.25%,Dr Shailendra Beldale,BJP,GEN,Lingayat - Veerashaiva,Ashok Kheny,INC,GEN,Linagayat - Veerashaiva,"Total no of Booths - 229
______________
Grade A - 63
Grade B - 6
Grade C - 5
Grade D - 155"
50,50,Bidar,Kalyan,Bidar,Bidar,Bidar,Muslim - 31.1%,"Lingayat - 22.95%
_______________

Lingayat Veerashaiva - 22.23%
Lingayat Jangama - 2.08%
Lingayat Reddy - 0.64%","SC - 14.68%
_______________

SC (Right) - 8.27%
SC (Left) - 3.41%
SC (Others) - 3%",Kuruba/ Halumatha - 7.87%,Christian - 7.6%,Rahim Khan,INC,OBC,Muslim,Shri Suryakanth Nagamarpalli,JD(S),GEN,Lingayat - Banajiga,"Total no of Booths - 248
______________
Grade A - 88
Grade B - 4
Grade C - 7
Grade D - 149"
51,51,Bhalki,Kalyan,Bidar,Bidar,Bidar,"Lingayat - 25.43%
_______________

Lingayat Veerashaiva - 23%
Lingayat Beda Jangama - 2.43%","SC - 25.09%
_______________

SC (Right) - 11.58%
SC (Left) - 9.22%
SC (Lambani) - 3.18%
SC (Bhovi) - 1.11%",Maratha - 23.1%,Kuruba/ Halumatha - 10.83%,Muslim - 10.51%,Eshwar Khandre,INC,GEN,Lingayat - Veerashaiva,Shri Prakash Khandre,BJP,GEN,Lingayat - Veerashaiva,"Total no of Booths - 263
______________
Grade A - 100
Grade B - 15
Grade C - 4
Grade D - 144"
52,52,Aurad (SC),Kalyan,Bidar,Bidar,Bidar,"SC - 33.25%
_______________

SC (Lambani) - 11.68%
SC (Left) - 10.61%
SC (Right) - 6.96%
SC (Others) - 4%","Lingayat - 22.43%
_______________

Lingayat Veerashaiva - 18.64%
Lingayat Reddy - 2.24%
Lingayat Beda Jangama - 1.55%",Maratha - 14.99%,Kuruba/ Halumatha - 10.09%,Muslim - 8.75%,Shri Prabhu B Chavan,BJP,SC,Lambani,Bhimsain Rao Shinde,INC,SC,SC - Right,"Total no of Booths - 255
______________
Grade A - 95
Grade B - 16
Grade C - 10
Grade D - 134"
53,53,Raichur Rural (ST),Kalyan,Raichur,Raichur,Raichur,ST Nayaka - 22.93%,"SC - 22.71%
_______________

SC (Left) - 16.67%
SC (Bhovi) - 2.41%
SC (Lambani) - 1.63%
SC (Right) - 1.58%
SC (Others) - 0.42%",Kuruba/ Halumatha - 14.55%,Bestha/ Koli/ Kabbaliga/ Mogaveera - 8.35%,Muslim - 8.1%,Basanagouda Daddal,INC,ST,Nayaka,Shri Tipparaju Hawaldar,BJP,ST,Nayaka,"Total no of Booths - 275
______________
Grade A - 139
Grade B - 21
Grade C - 10
Grade D - 105"
54,54,Raichur,Kalyan,Raichur,Raichur,Raichur,Muslim - 30.8%,"SC - 20.05%
_______________

SC (Left) - 14.64%
SC (Right) - 3.24%
SC (Others) - 2.17%","Lingayat - 10%
_______________

Lingayat Veerashaiva - 5%
Lingayat Lingayat Reddy - 2%
Lingayat Ganiga - 1%
Lingayat Jangama - 1%
Lingayat Banajiga - 1%",ST Nayaka - 6.32%,Kuruba/ Halumatha - 5.98%,Dr Shivaraj Patil,BJP,GEN,Lingayat - Lalgond,Mohammed Shalam,INC,GEN,Muslim,"Total no of Booths - 250
______________
Grade A - 110
Grade B - 13
Grade C - 4
Grade D - 123"
55,55,Manvi (ST),Kalyan,Raichur,Raichur,Raichur,ST Nayaka - 25.12%,"SC - 19.46%
_______________

SC (Left) - 11.05%
SC (Bhovi) - 3.04%
SC (Right) - 2.48%
SC (Lambani) - 1.86%
SC (Others) - 1.03%",Muslim - 12.78%,Kuruba/ Halumatha - 12.02%,"Lingayat - 10.86%
_______________

Lingayat Veerashaiva - 4.26%
Lingayat Jangama - 2.16%
Lingayat Lalagonda - 1.97%
Lingayat Banajiga - 1.65%
Lingayat Reddy Lingayat - 0.82%",G Hampayya Nayak,INC,ST,Nayaka,Shri A Bhagavantaray,BJP,ST,Nayaka,"Total no of Booths - 276
______________
Grade A - 130
Grade B - 12
Grade C - 9
Grade D - 125"
56,56,Devadurga (ST),Kalyan,Raichur,Raichur,Raichur,ST Nayaka - 34.87%,"SC - 20.29%
_______________

SC (Left) - 9.98%
SC (Lambani) - 6.48%
SC (Right) - 2.79%
SC (Bhovi) - 1.04%",Kuruba/ Halumatha - 11.56%,Muslim - 9.09%,"Lingayat - 8.57%
_______________

Lingayat Veerashaiva - 4.30%
Lingayat Banajiga - 1.92%
Lingayat Beda Jangama - 0.89%
Lingayat Ganiga - 0.85%
Lingayat Reddy Lingayat - 0.61%",Smt Karemma,JD(S),ST,Nayaka,Shri Shivanagouda,BJP,ST,Nayaka,"Total no of Booths - 263
______________
Grade A - 60
Grade B - 24
Grade C - 8
Grade D - 171"
57,57,Lingsugur (SC),Kalyan,Raichur,Raichur,Raichur,"SC - 23.67%
_______________

SC (Left) - 8.66%
SC (Lambani) - 7.84%
SC (Right) - 3.01%
SC (Bhovi) - 2.46%
SC (Others) - 1.7%",Kuruba/ Halumatha - 19.57%,ST Nayaka - 18.16%,Muslim - 14.02%,"Lingayat - 11.23%
_______________

Lingayat Veerashaiva - 3.39%
Lingayat Panchamasali - 1.82%
Lingayat Beda Jangama - 1.76%
Lingayat Banajiga - 1.68%
Lingayat Ganiga - 1.44%
Lingayat Reddy Lingayat - 0.75%
Lingayat Kudu Vokkaliga - 0.39%",Shri Manappa D Vajjal,BJP,SC,Bhovi,DS Hulager,INC,SC,SC - Right,"Total no of Booths - 285
______________
Grade A - 102
Grade B - 15
Grade C - 15
Grade D - 153"
58,58,Sindhanur,Kalyan,Koppal,Raichur,Raichur,Muslim - 17.84%,"SC - 15.23%
_______________

SC (Left) - 8.82%
SC (Right) - 2.52%
SC (Bhovi) - 2.05%
SC (Lambani) - 1.33%
SC (Others) - 0.51%",Kuruba/ Halumatha - 13.81%,"Lingayat - 13%
_______________

Lingayat Veerashaiva - 5%
Lingayat Jangama - 2%
Lingayat Reddy Lingayat - 2%
Lingayat Banajiga - 1%
Lingayat Lalagonda - 1%
Lingayat Panchamasali - 1%
Lingayat Ganiga - 1%",ST Nayaka - 12.9%,Hampanagouda Badarli,INC,GEN,Lingayat - Reddy,Shri K Kariyappa,BJP,OBC,Kuruba / Halumata,"Total no of Booths - 269
______________
Grade A - 144
Grade B - 16
Grade C - 4
Grade D - 105"
