Sl No,AC No,AC Name,Zone,PC,District,Org District,Dominant Caste 1,Dominant Caste 2,Dominant Caste 3,Dominant Caste 4,Dominant Caste 5,Winner - Name,Winner - Party,Winner - Category,Winner - Caste,Runner Up - Name,Runner Up - Party,Runner Up - Category,Runner Party - Caste,2024 GE Booth Gradation
208,208,Madikeri,OMR,Mysuru,Kodagu,Kodagu,Vokkaliga - 21.98%,"SC - 18.71%
_______________

SC (Right) - 10.44%
SC (Left) - 5.41%
SC (Others) - 2.86%",Muslim - 16.15%,Ediga / Billava / Namdhari Naik - 10.18%,Kodava - 6.47%,Dr Mantar Gowda,INC,GEN,Vokkaliga,Shri Appachu Ranjan M P,BJP,OBC,Kodava,"Total no of Booths - 272
______________
Grade A - 222
Grade B - 5
Grade C - 8
Grade D - 37"
209,209,Virajpet,OMR,Mysuru,Kodagu,Kodagu,Kodava - 22.06%,Muslim - 19.5%,Vokkaliga - 12.65%,ST - 12.58%,"SC - 11.39%
_______________

SC (Right) - 7.0%
SC (Left) - 4.39%",AS Ponnanna,INC,OBC,Kodava,Shri KG Bopaiah,BJP,GEN,Vokkaliga,"Total no of Booths - 273
______________
Grade A - 199
Grade B - 4
Grade C - 2
Grade D - 68"
210,210,Periyapatna,OMR,Mysuru,Mysuru,Mysuru Rural,Vokkaliga - 20.62%,"SC - 18.58%
_______________

SC (Right) - 12.33%
SC (Left) - 3.83%
SC (Bhovi) - 2.42%",Kuruba/ Halumatha - 17.47%,Uppara - 7.08%,Muslim - 6.56%,K Venkatesh,INC,GEN,Vokkaliga,Shri K Mahadeva,JD(S),GEN,Vokkaliga,"Total no of Booths - 235
______________
Grade A - 103
Grade B - 18
Grade C - 10
Grade D - 104"
211,211,Krishnaraja Nagar,OMR,Mandya,Mysuru,Mysuru Rural,Vokkaliga - 26.87%,Kuruba/ Halumatha - 25.05%,"SC - 16.25%
_______________

SC (Right) - 10.73%
SC (Left) - 4.25%
SC (Others) - 1.27%",Lingayat Veerashaiva - 9.23%,ST - 7.4%,Ravishankar D,INC,OBC,Kuruba / Halumata,Shri Sa Ra Mahesh,JD(S),GEN,Vokkaliga,"Total no of Booths - 252
______________
Grade A - 152
Grade B - 3
Grade C - 2
Grade D - 95"
212,212,Hunsur,OMR,Mysuru,Mysuru,Mysuru Rural,"SC - 21.23%
_______________

SC (Right) - 12.95%
SC (Left) - 6.19%
SC (Bhovi) - 2.09%",Vokkaliga - 18.46%,Kuruba/ Halumatha - 13.7%,"ST - 18.07%
_______________

ST Nayaka - 13.24%
ST Others - 4.83%",Lingayat Veerashaiva - 8.08%,Shri GD Harish Gowda,JD(S),GEN,Vokkaliga,HP Manjunath,INC,OBC,Arya Vaishya,"Total no of Booths - 274
______________
Grade A - 150
Grade B - 6
Grade C - 8
Grade D - 110"
213,213,H D Kote (ST),OMR,Chamrajnagar,Mysuru,Mysuru Rural,"SC - 30.51%
_______________

SC (Right) - 23.26%
SC (Left) - 4.06%
SC (Others) - 3.09%",ST - 16.13%,Vokkaliga - 13.57%,Lingayat Veerashaiva - 11.56%,ST - 8.25%,Anil Chikkamadhu,INC,ST,Nayaka,Shri KM Krishnanayaka,BJP,ST,Nayaka,"Total no of Booths - 282
______________
Grade A - 98
Grade B - 9
Grade C - 10
Grade D - 165"
214,214,Nanjangud (SC),OMR,Chamrajnagar,Mysuru,Mysuru Rural,Lingayat Veerashaiva - 24.72%,"SC - 24.27%
_______________

SC (Right) - 20.14%
SC (Left) - 3.01%
SC (Bhovi) - 1.12%",ST - 14.09%,Uppara - 12.51%,Kuruba/ Halumatha - 8.81%,Darshan Dhruvanarayana,INC,SC,SC - Right,Shri B Harshavardhan,BJP,SC,SC - Right,"Total no of Booths - 246
______________
Grade A - 92
Grade B - 10
Grade C - 3
Grade D - 141"
215,215,Chamundeshwari,OMR,Mysuru,Mysuru,Mysuru City,Vokkaliga - 20.67%,"SC - 16.96%
_______________

SC (Right) - 13.98%
SC (Left) - 2.98%",ST Nayaka - 15.83%,Kuruba/ Halumatha - 14.87%,Lingayat Veerashaiva - 13.57%,Shri GT Devegowda,JD(S),GEN,Vokkaliga,S Siddegowda,INC,GEN,Vokkaliga - Gangatkar,"Total no of Booths - 343
______________
Grade A - 233
Grade B - 9
Grade C - 5
Grade D - 96"
216,216,Krishnaraja,OMR,Mysuru,Mysuru,Mysuru City,Brahmin - 16.77%,"SC - 15.48%
_______________

SC (Right) - 12.4%
SC (Left) - 2.64%
SC (Bhovi) - 0.44%",Lingayat Veerashaiva - 13.02%,Vokkaliga - 9.09%,Kuruba/ Halumatha - 9.02%,Shri TS Srivathsa,BJP,GEN,Brahmin,MK Somashekar,INC,GEN,Kuruba / Halumata,"Total no of Booths - 265
______________
Grade A - 221
Grade B - 2
Grade C - 3
Grade D - 39"
217,217,Chamaraja,OMR,Mysuru,Mysuru,Mysuru City,"Vokkaliga - 24.68%
_______________

Vokkaliga - 23.98%
Vokkaliga Gangatkar - 0.74%","SC - 9.39%
_______________

SC (Right) - 4.98%
SC (Left) - 3.11%
SC (Others) - 1.36%",Muslim - 9.37%,Kuruba/ Halumatha - 8.24%,Brahmin - 7.95%,K Harish Gowda,INC,GEN,Vokkaliga,Shri L Nagendra,BJP,GEN,Vokkaliga,"Total no of Booths - 248
______________
Grade A - 215
Grade B - 5
Grade C - 2
Grade D - 26"
218,218,Narasimharaja,OMR,Mysuru,Mysuru,Mysuru City,Muslim - 55.24%,"SC - 13.00%
_______________

SC (Right) - 9.00%
SC (Left) - 4.00%",Christian - 4.37%,Vokkaliga - 4.51%,Kuruba/ Halumatha - 3.24%,Tanveer Sait,INC,OBC,Muslim,Shri S Satheesh Sandesh Swamy,BJP,GEN,Vokkaliga,"Total no of Booths - 291
______________
Grade A - 81
Grade B - 8
Grade C - 4
Grade D - 198"
219,219,Varuna,OMR,Chamrajnagar,Mysuru,Mysuru Rural,Lingayat Veerashaiva - 27.09%,"SC - 23.56%
_______________

SC (Right) - 19.05%
SC (Left) - 4.51%",Kuruba/ Halumatha - 18.36%,ST - 10.87%,Vokkaliga - 4.9%,Siddaramaiah,INC,OBC,Kuruba / Halumata,Shri V Somanna,BJP,GEN,Vokkaliga,"Total no of Booths - 261
______________
Grade A - 87
Grade B - 13
Grade C - 6
Grade D - 155"
220,220,T Narasipura (SC),OMR,Chamrajnagar,Mysuru,Mysuru Rural,"SC - 27.24%
_______________

SC (Right) - 20.45%
SC (Left) - 6.79%",Vokkaliga - 23.76%,ST Nayaka - 14.74%,Lingayat Veerashaiva - 12.66%,Kuruba/ Halumatha - 8.96%,Dr HC Mahadevappa,INC,SC,SC - Right,Shri Ashvin Kumar M,JD(S),SC,SC - Right,"Total no of Booths - 228
______________
Grade A - 118
Grade B - 4
Grade C - 5
Grade D - 101"
221,221,Hanur,OMR,Chamrajnagar,Chamrajnagar,Chamarajanagar,"SC - 29.13%
_______________

SC (Right) - 18.41%
SC (Left) - 5.74%
SC (Lambani) - 1.98%
SC (Bhovi) - 1.63%
SC (Others) - 1.37%","Lingayat - 15.08%
_______________

Lingayat Veerashaiva - 12.08%
Lingayat Beda Gampana - 3.00%",ST - 11.02%,Christian - 6.05%,Muslim - 5.98%,Shri MR Manjunath,JD(S),OBC,Kuruba / Halumata,R Narendra,INC,GEN,Vokkaliga,"Total no of Booths - 254
______________
Grade A - 69
Grade B - 7
Grade C - 10
Grade D - 168"
222,222,Kollegala (SC),OMR,Chamrajnagar,Chamrajnagar,Chamarajanagar,"SC - 33.34%
_______________

SC (Right) - 28.00%
SC (Left) - 5.34 %",Lingayat Veerashaiva - 16.69%,Uppara - 15.96%,ST - 12.52%,Kuruba/ Halumatha - 6.7%,AR Krishnamurthy,INC,SC,SC - Right,Shri N Mahesh,BJP,SC,SC - Right,"Total no of Booths - 241
______________
Grade A - 69
Grade B - 9
Grade C - 3
Grade D - 160"
223,223,Chamarajanagar,OMR,Chamrajnagar,Chamrajnagar,Chamarajanagar,"SC - 25.34%
_______________

SC (Right) - 20.34%
SC (Left) - 5.00%",Lingayat Veerashaiva - 20.34%,Uppara - 19.02%,ST - 8.83%,Muslim - 7.44%,C Puttarangashetty,INC,OBC,Uppara,Shri V Somanna,BJP,GEN,Lingayat - Veerashaiva,"Total no of Booths - 239
______________
Grade A - 84
Grade B - 12
Grade C - 12
Grade D - 131"
224,224,Gundlupet,OMR,Chamrajnagar,Chamrajnagar,Chamarajanagar,Lingayat Veerashaiva - 34.34%,"SC - 20.57%
_______________

SC (Right) - 16.33%
SC (Left) - 4.24%",ST - 11.61%,Uppara - 10.97%,Kuruba/ Halumatha - 9.37%,HM Ganesh Prasad,INC,GEN,Lingayat - Shetty,Shri CS Niranjan Kumar,BJP,GEN,Lingayat - Veerashaiva,"Total no of Booths - 249
______________
Grade A - 81
Grade B - 21
Grade C - 7
Grade D - 140"
